iter	AUC	Logloss
426	0.9679618587	0.191333645
427	0.9680477855	0.1910861376
428	0.96817484	0.1908220087
429	0.9682416666	0.1905943842
430	0.9683187791	0.1903492626
431	0.9683756755	0.1902361777
432	0.9684734974	0.1900319538
433	0.9685534726	0.1898599831
434	0.9686455047	0.1896300033
435	0.9688130482	0.1892844021
436	0.9689079913	0.1890531394
437	0.9690125817	0.1888417478
438	0.9690933493	0.1886523324
439	0.9692163526	0.1883972496
440	0.9693643591	0.1880652337
441	0.969413347	0.1879071065
442	0.9695201611	0.1876896512
443	0.96960367	0.1874628145
444	0.9696888043	0.1872472225
445	0.9697663778	0.1870172452
446	0.9698424714	0.1868285056
447	0.9699183063	0.1865531724
448	0.970001888	0.1863773676
449	0.9700620028	0.1862285795
450	0.9701641268	0.1860198006
451	0.9702710784	0.1857855795
452	0.9703652615	0.1855618506
453	0.9704668517	0.185389814
454	0.970547587	0.1852087167
455	0.9706320178	0.185074454
456	0.9707106344	0.1848649611
457	0.9707979763	0.1846397934
458	0.9709025182	0.1843537173
459	0.9709617273	0.1842002707
460	0.971056161	0.1840072449
461	0.9711523819	0.1837563596
462	0.9712394893	0.1835546801
463	0.9713429475	0.1833186663
464	0.9714228823	0.1831138758
465	0.9714973667	0.182945638
466	0.9715771235	0.1828064583
467	0.9716520123	0.182666092
468	0.9717222513	0.1824826238
469	0.9718430469	0.1821975252
470	0.9719035903	0.182063975
471	0.9719718239	0.1819364502
472	0.9720564811	0.1817155008
473	0.9721149624	0.1815997508
474	0.9721860506	0.1814099861
475	0.9722575915	0.1811908982
476	0.9723503918	0.1809930085
477	0.9723906948	0.1809071922
478	0.9724487637	0.1807607812
479	0.9725067032	0.1806553699
480	0.9725804599	0.1804494594
481	0.9726586075	0.1802431923
482	0.9727381055	0.1800557809
483	0.9727884599	0.1798883127
484	0.9728600252	0.1797299826
485	0.9729334179	0.1795892537
486	0.9730089698	0.1794124958
487	0.9730822412	0.1792125529
488	0.9731629037	0.1790131065
489	0.9732625371	0.17876028
490	0.9733118322	0.17862091
491	0.9733848691	0.178384358
492	0.973452658	0.1781931229
493	0.9735050017	0.1780588834
494	0.9735809578	0.1778783133
495	0.9736839552	0.177656134
496	0.9737369134	0.1775027563
