iter	Passed	Remaining
1275	63901	136416
1276	63954	136373
1277	64005	136324
1278	64056	136276
1279	64106	136226
1280	64156	136176
1281	64206	136125
1282	64258	136080
1283	64307	136028
1284	64358	135979
1285	64407	135926
1286	64458	135879
1287	64510	135832
1288	64562	135786
1289	64610	135732
1290	64662	135686
1291	64714	135639
1292	64764	135589
1293	64815	135540
1294	64866	135493
1295	64914	135438
1296	64962	135384
1297	65010	135329
1298	65095	135353
1299	65148	135307
1300	65198	135257
1301	65249	135209
1302	65299	135159
1303	65348	135107
1304	65398	135056
1305	65446	135003
1306	65502	134965
1307	65560	134929
1308	65618	134896
1309	65676	134861
1310	65734	134827
1311	65787	134784
1312	65837	134734
1313	65887	134683
1314	65938	134634
1315	65987	134581
1316	66035	134527
1317	66085	134476
1318	66135	134428
1319	66187	134381
1320	66236	134329
1321	66287	134279
1322	66339	134232
1323	66389	134183
1324	66439	134133
1325	66490	134084
1326	66540	134034
1327	66593	133989
1328	66643	133938
1329	66694	133890
1330	66745	133841
1331	66796	133793
1332	66844	133739
1333	66895	133690
1334	66947	133644
1335	67000	133600
1336	67051	133550
1337	67101	133500
1338	67153	133454
1339	67205	133408
1340	67254	133355
1341	67305	133307
1342	67357	133261
1343	67407	133210
1344	67457	133160
1345	67509	133112
1346	67559	133062
1347	67609	133012
1348	67661	132966
1349	67713	132919
1350	67762	132867
1351	67812	132815
1352	67862	132765
1353	67912	132715
1354	67962	132664
1355	68010	132611
1356	68062	132564
1357	68113	132514
1358	68166	132471
1359	68219	132425
1360	68270	132377
1361	68319	132324
1362	68367	132270
1363	68418	132222
1364	68470	132175
1365	68519	132123
1366	68569	132073
1367	68619	132022
1368	68668	131969
1369	68720	131924
1370	68770	131872
1371	68823	131827
1372	68873	131777
1373	68923	131726
1374	68976	131681
1375	69029	131638
1376	69080	131588
1377	69132	131541
1378	69181	131489
1379	69233	131442
1380	69285	131397
1381	69336	131348
1382	69386	131297
1383	69435	131244
1384	69484	131192
1385	69535	131143
1386	69584	131091
1387	69634	131041
1388	69687	130995
1389	69738	130948
1390	69790	130900
1391	69840	130850
1392	69889	130798
1393	69941	130750
1394	69993	130705
1395	70044	130656
1396	70097	130611
1397	70146	130559
1398	70197	130509
1399	70247	130458
1400	70296	130407
1401	70345	130354
1402	70394	130302
1403	70447	130257
1404	70500	130212
1405	70554	130170
1406	70602	130115
1407	70652	130064
1408	70703	130015
1409	70754	129967
1410	70805	129918
1411	70856	129870
1412	70907	129820
1413	70959	129774
1414	71010	129725
1415	71060	129675
1416	71110	129625
1417	71161	129576
1418	71212	129527
1419	71263	129478
1420	71313	129428
1421	71362	129376
1422	71412	129324
1423	71461	129272
1424	71511	129221
1425	71562	129173
1426	71612	129123
1427	71664	129076
1428	71714	129026
1429	71767	128980
1430	71819	128933
1431	71870	128884
1432	71919	128833
1433	71971	128785
1434	72021	128736
1435	72072	128685
1436	72122	128636
1437	72175	128590
1438	72226	128542
1439	72278	128494
1440	72332	128451
1441	72381	128398
1442	72429	128344
1443	72480	128297
1444	72530	128246
1445	72582	128199
1446	72634	128151
1447	72686	128104
1448	72735	128053
1449	72786	128004
1450	72839	127957
1451	72889	127908
1452	72938	127855
1453	72990	127808
1454	73040	127758
1455	73089	127706
1456	73142	127660
1457	73193	127612
1458	73247	127568
1459	73299	127520
1460	73350	127472
1461	73401	127424
1462	73453	127376
1463	73505	127328
1464	73556	127280
1465	73604	127226
1466	73655	127178
1467	73702	127122
1468	73754	127075
1469	73806	127027
1470	73855	126975
1471	73907	126928
1472	73958	126879
1473	74010	126831
1474	74060	126782
1475	74111	126731
1476	74162	126683
1477	74211	126630
1478	74260	126578
1479	74312	126531
1480	74387	126523
1481	74447	126489
1482	74503	126449
1483	74557	126405
1484	74613	126365
1485	74664	126317
1486	74718	126272
1487	74772	126229
1488	74824	126181
1489	74877	126136
1490	74932	126094
1491	74986	126049
1492	75037	126000
1493	75089	125953
1494	75143	125908
1495	75197	125865
1496	75251	125821
1497	75324	125808
1498	75397	125796
1499	75455	125758
1500	75507	125712
1501	75560	125665
1502	75611	125616
1503	75662	125567
1504	75714	125520
1505	75769	125477
1506	75819	125425
1507	75870	125377
1508	75923	125331
1509	75973	125280
1510	76026	125234
1511	76076	125184
1512	76130	125140
1513	76182	125092
1514	76234	125044
1515	76291	125004
1516	76368	124998
1517	76432	124970
1518	76483	124921
1519	76537	124876
1520	76626	124890
1521	76701	124878
1522	76761	124844
1523	76812	124795
1524	76888	124786
1525	76963	124774
1526	77020	124736
1527	77073	124688
1528	77127	124644
1529	77181	124599
1530	77233	124552
1531	77285	124504
1532	77338	124457
1533	77392	124412
1534	77446	124368
1535	77503	124328
1536	77558	124285
1537	77611	124239
1538	77666	124195
1539	77720	124150
1540	77776	124109
1541	77828	124061
1542	77882	124016
1543	77937	123973
1544	77996	123935
1545	78053	123896
1546	78115	123863
1547	78174	123826
1548	78233	123789
1549	78286	123742
1550	78344	123704
1551	78401	123664
1552	78458	123623
1553	78515	123583
1554	78567	123535
1555	78622	123492
1556	78681	123454
1557	78742	123420
1558	78804	123387
1559	78881	123378
1560	78942	123344
1561	78997	123300
1562	79048	123250
1563	79098	123199
1564	79152	123154
1565	79205	123106
1566	79256	123057
1567	79307	123007
1568	79359	122959
1569	79410	122909
1570	79464	122864
1571	79516	122815
1572	79568	122766
1573	79617	122713
1574	79666	122661
1575	79716	122610
1576	79772	122566
1577	79824	122518
1578	79877	122471
1579	79930	122425
1580	79983	122377
1581	80032	122324
1582	80083	122274
1583	80134	122225
1584	80186	122176
1585	80237	122127
1586	80287	122075
1587	80337	122023
1588	80390	121976
1589	80441	121926
1590	80494	121879
1591	80542	121825
1592	80593	121775
1593	80647	121730
1594	80706	121692
1595	80759	121644
1596	80810	121595
1597	80864	121549
1598	80919	121505
1599	80968	121452
1600	81019	121402
1601	81085	121375
1602	81141	121332
1603	81192	121283
1604	81243	121232
1605	81295	121183
1606	81350	121140
1607	81402	121092
1608	81455	121043
1609	81505	120993
1610	81557	120943
1611	81610	120896
1612	81663	120850
1613	81713	120798
1614	81762	120745
1615	81813	120695
1616	81868	120651
1617	81924	120607
1618	81973	120554
1619	82025	120506
1620	82073	120451
1621	82121	120397
1622	82172	120347
1623	82221	120294
